Date	kospi_SMB	kospi_HML	kosdaq_SMB	kosdaq_HML	SMB	HML
1997-10-22	-0.009091677	0.004638932	0.002879374	0.015315255	-0.019695322	0.008824669
1997-10-23	0.013450359	0.008652548	0.000733562	-0.011360234	0.009414494	0.007611664
1997-10-24	0.014231319	-0.010966646	0.005830969	-0.010768204	0.021554871	-0.014847412
1997-10-25	0.005442991	0.006928602	0.009896155	-0.003742162	0.011280617	0.006604869
1997-10-27	-0.004296563	0.019733547	0.002124472	-0.010072536	0.002937179	0.016122185
1997-10-28	0.003601413	0.003409682	0.014394415	0.007519674	0.015355455	0.004628719
1997-10-29	-0.02074778	0.034131162	0.006829733	0.029707121	-0.023477952	0.034104354
1997-10-30	-0.004802604	0.017990657	0.009554701	-0.027999313	0.005071963	0.012175375
1997-10-31	0.001094434	0.011046491	0.001409158	-0.003105831	0.007145189	0.007829463
1997-11-01	0.000503064	-0.003001475	-0.006133878	0.020702148	-0.011941237	0.000523287
1997-11-03	0.000833464	-0.029902753	0.011242808	-0.009791903	-0.006120161	-0.024726449
1997-11-04	-0.007766899	-0.008334694	0.00453316	0.007920723	-0.020849501	-0.004329368
1997-11-05	0.002319492	-0.019066948	0.015743426	0.002012091	-0.002487308	-0.02023644
1997-11-06	0.029083669	-0.019448704	-0.00933277	-0.013798615	0.026610347	-0.017820996
1997-11-07	0.016669834	0.001504301	0.007155692	-0.002318533	0.02714695	-0.002771777
1997-11-08	0.018420099	0.003766384	-0.00298724	-0.006642849	0.023858678	0.003783527
1997-11-10	-0.000776811	-0.00333505	0.005358588	-0.001286065	-0.012569603	-0.00255287
1997-11-11	0.0077097	-0.001749384	0.007757926	-0.000188279	0.005664926	8.23E-05
1997-11-12	0.008267078	-0.011664682	0.008568662	-0.002967615	0.007281869	-0.009419736
1997-11-13	0.009808731	0.001155805	0.012137026	0.007187797	0.007882111	0.003246778
1997-11-14	0.020979044	0.000965774	0.003794653	0.016442889	0.017182292	0.003682663
1997-11-15	-0.001055252	-0.001552775	-0.004810596	0.005587438	0.000521045	-0.002086433
1997-11-17	-0.004480401	0.006643805	-0.000402425	-0.00900982	0.00469495	0.00387075
1997-11-18	-0.007908774	0.000665245	0.004406243	0.000255768	-0.008208507	0.00347549
1997-11-19	-0.015317841	-0.004262794	0.016850283	0.013588529	-0.015786204	-0.001125336
1997-11-20	-0.019510517	0.00824291	0.013309572	0.010291923	-0.010397656	0.008598697
1997-11-21	-0.062717879	0.004205593	0.000577678	-0.004437562	-0.061604867	0.001993908
1997-11-22	-0.023388012	-0.003576531	0.011156431	-0.032974207	-0.010199936	-0.00669082
1997-11-24	0.003814839	-0.005873041	0.027363753	0.002374271	0.016699704	-0.004892794
1997-11-25	-0.033327582	0.002984891	0.017684788	-0.018613176	-0.021181628	0.000816054
1997-11-26	-0.025344243	-0.013784284	0.009614275	-0.006498523	-0.022392475	-0.014773033
1997-11-27	0.019426915	-0.042234044	-0.003148795	-0.021179519	0.014199215	-0.038425871
1997-11-28	0.007210534	-0.007342497	0.018353158	-0.017908241	0.016339476	-0.006917498
1997-11-29	-0.019940399	-0.017874547	0.003843311	-0.008662749	-0.016007867	-0.017486919
1997-12-01	-0.017940747	0.00129399	0.024281691	-0.02259313	-0.005553967	-0.000278397
1997-12-02	-0.019638456	-0.002396266	0.008419621	0.007667245	-0.006315687	-0.002810391
1997-12-03	-0.065517916	0.010253612	0.000994831	0.01224989	-0.052344511	0.010416829
1997-12-04	-0.030631118	-0.005707851	-0.013272242	0.008161634	-0.041251155	-0.000168403
1997-12-05	-0.03407741	-0.005177838	0.006230863	0.023757552	-0.04478042	0.001574837
1997-12-06	-0.050144959	0.002010203	-0.012941568	0.005709165	-0.04526608	-0.002505857
1997-12-08	-0.007490465	-0.001243061	0.008032857	-0.007416647	0.001578119	-0.005935595
1997-12-09	0.011058731	0.006412697	0.009335818	-0.014237247	0.024450982	0.002437765
1997-12-10	-0.072119495	0.010307412	-0.010659829	0.03297295	-0.061551005	0.006448088
1997-12-11	-0.0005049	0.009269065	0.012273712	-0.014827253	0.016698696	0.004130838
1997-12-12	0.008999109	-0.002071331	0.008332856	-0.028275253	0.024111784	-0.007552364
1997-12-13	-0.046124216	0.031360003	-0.006927452	0.005288564	-0.041854191	0.028207141
1997-12-15	-0.023761403	0.005818597	-0.021978497	0.000821137	-0.038083831	0.004869292
1997-12-16	-0.018853934	-0.003994495	-0.013889729	-0.018581535	-0.027002703	-0.006709457
1997-12-17	0.009539245	-0.001377789	-0.013797785	-0.017237797	-0.003953985	-0.001230602
1997-12-19	0.071389846	-0.006795756	0.012582018	-0.035010286	0.062729263	-0.008251658
1997-12-20	0.004208904	0.004065341	0.009436165	-0.030984486	-0.003199719	0.003897852
1997-12-22	0.002619233	-0.022362773	-0.005174474	-0.01066423	0.000408336	-0.022464763
1997-12-23	0.012312197	-0.009507562	0.024656251	-0.029881702	0.024209391	-0.011006008
1997-12-24	-0.007799645	-0.010963964	-0.005363374	0.001126266	0.000126524	-0.007769471
1997-12-26	-0.035186577	0.008890705	-0.027434979	0.019677447	-0.045742063	0.010957952
1997-12-27	-0.044083047	0.002012116	-0.003251745	0.001444861	-0.035431853	0.001957609
1998-01-03	-0.030853689	0.004222079	-0.001541615	-0.026481066	-0.029835244	0.002968146
1998-01-05	0.015812992	-0.000907888	0.00746804	-0.007972613	0.001302656	0.001317059
1998-01-06	0.01751992	-0.000775797	0.013908798	-0.007708514	0.007073085	0.005064289
1998-01-07	0.017405904	-0.018723149	-0.008485461	0.009182782	0.011860787	-0.013149128
1998-01-08	-0.006388838	-0.01078178	0.010472998	0.022750155	-0.016779017	-7.46E-05
1998-01-09	0.019227862	-0.0207852	0.004037686	-0.006065389	0.020089918	-0.015428472
1998-01-10	-0.005617435	0.01001921	-0.008668435	0.0069687	-0.018790311	0.011987156
1998-01-12	0.016234366	0.005413918	0.004812873	-0.001645921	0.003025542	0.007803004
1998-01-13	0.023999723	0.000843248	8.60E-05	0.011271297	0.012426072	0.004826096
1998-01-14	0.011549592	0.007329873	-0.002577092	0.00494943	0.002900309	0.006079543
1998-01-15	-0.015248728	0.015558584	-0.017959532	0.035472756	-0.026763382	0.014660949
1998-01-16	0.001124675	0.002246179	0.009987914	0.007321892	0.006804826	0.00144387
1998-01-17	-0.047489435	0.004978872	-0.005870563	0.0087701	-0.042688998	0.006118121
1998-01-19	-0.041671536	0.00220431	0.002201248	0.008276097	-0.047766615	0.004812959
1998-01-20	-0.03606099	0.005601303	0.008265783	-0.011527273	-0.030693626	0.006735448
1998-01-21	0.031445878	-0.008660041	-0.00191337	0.006276119	0.034304743	-0.006446503
1998-01-22	0.027038224	-0.017633719	-0.009820711	0.013543178	0.028816632	-0.016624772
1998-01-23	-0.021554325	0.006205086	0.010748291	-0.005358809	-0.019871107	0.005574786
1998-01-24	-0.020697594	0.002304301	0.008042648	-0.007669766	-0.027146833	0.002253915
1998-01-26	-0.00213596	-0.003717153	0.00228576	-0.021722793	-0.006493504	-0.003780993
1998-01-30	-0.016582323	0.0088124	-0.011943301	0.010895855	-0.029581585	0.006901342
1998-01-31	-0.029632121	0.003350589	-0.008625438	0.015574152	-0.025710934	0.002925933
1998-02-02	0.010012184	-0.017834347	0.002702865	-0.000312414	0.015826344	-0.018103859
1998-02-03	0.023237931	-0.013041884	0.005580361	0.014856653	0.017802045	-0.007678947
1998-02-04	0.040053066	-0.005127934	0.007466025	0.001139982	0.03473343	-0.003504368
1998-02-05	0.024316233	0.014806555	0.012739173	0.008978005	0.025497003	0.015274177
1998-02-06	-0.022752224	-0.00437652	-0.007065821	-0.001006022	-0.02301782	-0.003274255
1998-02-07	0.010635919	-0.010662709	0.005788293	-0.024435058	0.007956989	-0.012316841
1998-02-09	0.012228836	-0.016530603	-0.007522542	-0.0198093	0.005187874	-0.011838764
1998-02-10	0.019802425	0.012880811	-0.006131857	-0.005041076	0.020389708	0.01079007
1998-02-11	0.009157068	0.017239098	0.01794819	-0.012363175	0.014719376	0.014803686
1998-02-12	0.003502559	0.003799137	0.009745438	-0.009237461	0.005298938	0.003079002
1998-02-13	0.002136131	0.014504412	-0.007865322	0.005875396	0.004704699	0.013470451
1998-02-14	-0.005201526	-0.001488604	0.002915153	0.004429711	0.004923004	-0.005819825
1998-02-16	-0.025959937	0.01714024	0.008864345	-0.002795564	-0.015076724	0.018496547
1998-02-17	-0.017677229	-0.009010333	0.013847909	-0.010351965	-0.010749787	-0.009733907
1998-02-18	-0.018901581	-0.019935116	-0.013867833	0.002119968	-0.021284105	-0.017503882
1998-02-19	-0.004743697	0.003305642	-0.001902664	0.003546895	-0.014594111	0.0055344
1998-02-20	-0.021936097	-0.00109706	0.00253864	-0.005500018	-0.022486467	-0.000670884
1998-02-21	-0.016549255	0.005855689	-0.003393897	0.003581194	-0.019600835	0.006133608
1998-02-23	0.016662362	-0.002260346	-0.013285687	0.000953345	0.005305956	-0.001736482
1998-02-24	0.022377244	0.003902547	-0.012245489	-0.005626055	0.016339745	0.001497186
1998-02-25	0.003889365	-0.002783706	-0.026368235	0.020198242	0.01138308	-0.006518056
1998-02-26	-0.004955454	0.011145821	-0.002075848	-0.020970595	-0.008072237	0.003671257
1998-02-27	-0.033635635	0.014814344	-0.00211998	-0.018835863	-0.035812254	0.01528722
1998-02-28	-0.026800761	-0.001789057	-0.001451256	-0.004980239	-0.029626126	-0.001529827
1998-03-02	-0.032531953	0.004771102	0.003500672	0.000122418	-0.034839969	0.005168398
1998-03-03	0.004545865	0.021191208	-0.008413692	0.006948436	0.004929547	0.01757136
1998-03-04	0.020338949	-0.003766607	-0.009633477	0.007860355	0.015025853	-8.41E-05
1998-03-05	0.045376614	-0.008728956	0.004095289	-0.004022391	0.044251962	-0.013495735
1998-03-06	0.007146978	-0.001153317	-0.015950967	-0.000467417	0.00841892	-0.003507395
1998-03-07	-0.022209542	-0.001757504	-0.005609421	0.001326282	-0.017395171	-0.001180093
1998-03-09	0.005223045	-0.006494047	0.003907992	-0.003539468	0.010265494	-0.006982975
1998-03-10	-0.029694817	0.014735731	0.006310209	-0.020198167	-0.029267775	0.012669878
1998-03-11	-0.000996866	-0.016476371	0.01226075	-0.009036267	-0.003757118	-0.013799135
1998-03-12	0.015952308	0.001204641	0.013695645	-0.014491894	0.008665401	0.002739565
1998-03-13	0.024256797	-0.004071423	-0.000214648	0.013724044	0.022188573	-0.001871565
1998-03-14	0.01826928	-0.002447317	-0.001821774	0.008840626	0.015354533	-0.004151619
