"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 05- 17","285.84","285.14","288.60","285.12","100.35M","-0.65%"
"2019- 05- 16","287.70","285.84","289.21","285.76","76.75M","0.93%"
"2019- 05- 15","285.06","281.59","285.77","281.36","73.96M","0.59%"
"2019- 05- 14","283.40","281.99","285.10","281.85","77.00M","0.90%"
"2019- 05- 13","280.86","282.42","283.49","279.93","127.29M","-2.51%"
"2019- 05- 10","288.10","285.62","288.94","282.30","112.43M","0.50%"
"2019- 05- 09","286.66","285.23","287.33","283.30","103.47M","-0.30%"
"2019- 05- 08","287.53","287.53","289.43","286.87","91.57M","-0.14%"
"2019- 05- 07","287.93","290.15","290.81","285.81","144.73M","-1.67%"
"2019- 05- 06","292.82","289.25","293.31","288.90","107.20M","-0.41%"
"2019- 05- 03","294.03","292.82","294.34","291.30","56.54M","0.98%"
"2019- 05- 02","291.18","291.68","292.70","289.52","65.03M","-0.22%"
"2019- 05- 01","291.81","294.72","294.95","291.80","71.67M","-0.75%"
"2019- 04- 30","294.02","293.49","294.34","291.92","81.11M","0.05%"
"2019- 04- 29","293.87","293.51","294.45","293.41","57.20M","0.16%"
"2019- 04- 26","293.41","292.10","293.49","291.24","50.92M","0.47%"
"2019- 04- 25","292.05","292.12","292.78","290.73","57.77M","-0.06%"
"2019- 04- 24","292.23","292.79","293.16","292.07","50.39M","-0.22%"
"2019- 04- 23","292.88","290.68","293.14","290.42","52.25M","0.90%"
"2019- 04- 22","290.27","289.17","290.44","289.07","40.16M","0.09%"
"2019- 04- 18","290.02","290.10","290.32","288.66","68.71M","0.20%"
"2019- 04- 17","289.45","291.40","291.43","288.99","58.27M","-0.24%"
"2019- 04- 16","290.16","290.95","291.01","289.50","52.15M","0.07%"
"2019- 04- 15","289.97","290.24","290.35","289.07","49.60M","-0.07%"
"2019- 04- 12","290.16","290.00","290.47","288.26","69.73M","0.68%"
"2019- 04- 11","288.21","288.83","288.84","287.58","55.09M","-0.03%"
"2019- 04- 10","288.29","287.77","288.39","287.31","52.60M","0.34%"
"2019- 04- 09","287.31","287.72","288.08","286.70","66.14M","-0.51%"
"2019- 04- 08","288.79","288.10","288.91","287.37","53.57M","0.08%"
"2019- 04- 05","288.57","287.92","288.63","287.60","58.62M","0.48%"
"2019- 04- 04","287.18","286.78","287.46","286.01","49.00M","0.27%"
"2019- 04- 03","286.42","287.32","287.76","285.75","68.24M","0.16%"
"2019- 04- 02","285.97","286.04","286.23","285.09","40.07M","0.05%"
"2019- 04- 01","285.83","284.70","286.16","284.40","77.62M","1.19%"
"2019- 03- 29","282.48","282.39","282.84","281.14","82.19M","0.63%"
"2019- 03- 28","280.71","280.35","281.21","279.07","56.24M","0.38%"
"2019- 03- 27","279.65","281.11","281.76","277.93","72.22M","-0.52%"
"2019- 03- 26","281.12","280.99","282.18","279.56","68.13M","0.75%"
"2019- 03- 25","279.04","278.87","280.19","277.64","85.58M","-0.08%"
"2019- 03- 22","279.25","283.22","283.80","279.18","122.66M","-1.92%"
"2019- 03- 21","284.73","280.64","285.18","280.59","79.55M","1.13%"
"2019- 03- 20","281.55","282.16","283.50","280.32","84.61M","-0.30%"
"2019- 03- 19","282.40","283.51","284.36","281.41","90.27M","0.02%"
"2019- 03- 18","282.33","281.55","282.66","281.30","62.20M","0.36%"
"2019- 03- 15","281.31","280.54","282.21","280.33","81.31M","0.05%"
"2019- 03- 14","281.16","281.37","281.84","280.67","67.52M","-0.06%"
"2019- 03- 13","281.34","280.48","282.38","280.30","80.64M","0.66%"
"2019- 03- 12","279.49","279.06","280.07","278.85","79.67M","0.38%"
"2019- 03- 11","278.44","275.26","278.62","275.23","65.10M","1.45%"
"2019- 03- 08","274.46","272.94","274.65","272.42","85.80M","-0.20%"
