변환,원자료,원자료,원자료
"2011/12","3.25","3.260","3.360"
"2012/01","3.25","3.260","3.350"
"2012/02","3.25","3.250","3.350"
"2012/03","3.25","3.250","3.360"
"2012/04","3.25","3.250","3.350"
"2012/05","3.25","3.260","3.360"
"2012/06","3.25","3.260","3.370"
"2012/07","3.00","3.090","3.190"
"2012/08","3.00","3.000","3.110"
"2012/09","3.00","2.990","3.110"
"2012/10","2.75","2.810","2.920"
"2012/11","2.75","2.750","2.870"
"2012/12","2.75","2.750","2.870"
"2013/01","2.75","2.760","2.870"
"2013/02","2.75","2.750","2.870"
"2013/03","2.75","2.740","2.850"
"2013/04","2.75","2.750","2.850"
"2013/05","2.50","2.560",""
"2013/06","2.50","2.490","2.500"
"2013/07","2.50","2.480",""
"2013/08","2.50","2.500",""
"2013/09","2.50","2.500","2.530"
"2013/10","2.50","2.500","2.530"
"2013/11","2.50","2.500","2.530"
"2013/12","2.50","2.500","2.560"
"2014/01","2.50","2.500","2.550"
"2014/02","2.50","2.490","2.530"
"2014/03","2.50","2.480","2.530"
"2014/04","2.50","2.490","2.530"
"2014/05","2.50","2.490",""
"2014/06","2.50","2.480","2.530"
"2014/07","2.50","2.490",""
"2014/08","2.25","2.340",""
"2014/09","2.25","2.240",""
"2014/10","2.00","2.070",""
"2014/11","2.00","1.980",""
"2014/12","2.00","1.990",""
"2015/01","2.00","1.990",""
"2015/02","2.00","1.990",""
"2015/03","1.75","1.830",""
"2015/04","1.75","1.730",""
"2015/05","1.75","1.740",""
"2015/06","1.50","1.570",""
"2015/07","1.50","1.480",""
"2015/08","1.50","1.490",""
"2015/09","1.50","1.480",""
"2015/10","1.50","1.480",""
"2015/11","1.50","1.490",""
"2015/12","1.50","1.480",""
"2016/01","1.50","1.490",""
"2016/02","1.50","1.490",""
"2016/03","1.50","1.490",""
"2016/04","1.50","1.480",""
"2016/05","1.50","1.490",""
"2016/06","1.25","1.290",""
"2016/07","1.25","1.230",""
"2016/08","1.25","1.230",""
"2016/09","1.25","1.240",""
"2016/10","1.25","1.230",""
"2016/11","1.25","1.230",""
"2016/12","1.25","1.230",""
"2017/01","1.25","1.240",""
"2017/02","1.25","1.230",""
"2017/03","1.25","1.230",""
"2017/04","1.25","1.230",""
"2017/05","1.25","1.230",""
"2017/06","1.25","1.240",""
"2017/07","1.25","1.240",""
"2017/08","1.25","1.230",""
"2017/09","1.25","1.250",""
"2017/10","1.25","1.250",""
"2017/11","1.50","1.260",""
"2017/12","1.50","1.510",""
"2018/01","1.50","1.500",""
"2018/02","1.50","1.490",""
"2018/03","1.50","1.490",""
"2018/04","1.50","1.480",""
"2018/05","1.50","1.500",""
"2018/06","1.50","1.490",""
"2018/07","1.50","1.490",""
"2018/08","1.50","1.500",""
"2018/09","1.50","1.540",""
"2018/10","1.50","1.520",""
"2018/11","1.75","1.510",""
"2018/12","1.75","1.770",""
"2019/01","1.75","1.760",""
"2019/02","1.75","1.760",""
"2019/03","1.75","1.760",""
"2019/04","1.75","1.750",""
"2019/05","1.75","1.750",""
"2019/06","1.75","1.760",""
"2019/07","1.50","1.630",""
"2019/08","1.50","1.510",""
"2019/09","1.50","1.520",""
"2019/10","1.25","1.360",""
"2019/11","1.25","1.280",""
"2019/12","1.25","1.280",""
"2020/01","1.25","1.270",""
"2020/02","1.25","1.240",""
"2020/03","0.75","0.980",""
"2020/04","0.75","0.740",""
"2020/05","0.50","0.700",""
"2020/06","0.50","0.480",""
"2020/07","0.50","0.480",""
"2020/08","0.50","0.510",""
"2020/09","0.50","0.480",""
"2020/10","0.50","0.500",""
"2020/11","0.50","0.500",""
"2020/12","0.50","0.510",""
"2021/01","0.50","0.490",""
"2021/02","0.50","0.490",""
"2021/03","0.50","0.490",""
"2021/04","0.50","0.480",""
"2021/05","0.50","0.480",""
"2021/06","0.50","0.510",""
"2021/07","0.50","0.530",""
"2021/08","0.75","0.560",""
"2021/09","0.75","0.770",""
"2021/10","0.75","0.750",""
"2021/11","1.00","0.800",""
"2021/12","1.00","1.024",""
"2022/01","1.25","1.181",""
"2022/02","1.25","1.211",""
"2022/03","1.25","1.250",""
"2022/04","1.50","1.297",""
"2022/05","1.75","1.504",""
"2022/06","1.75","1.751",""
"2022/07","2.25","1.953",""
"2022/08","2.50","2.262",""
"2022/09","2.50","2.535",""
"2022/10","3.00","2.917",""
"2022/11","3.25","3.166",""
"2022/12","3.25","3.333",""
"2023/01","3.50","3.298",""
"2023/02","3.50","3.438",""
"2023/03","3.50","3.386",""
"2023/04","3.50","3.451",""
