변환,원자료,원자료
"2012/08","2.97","5.72"
"2012/09","2.90","5.61"
"2012/10","2.85","5.50"
"2012/11","2.79","5.41"
"2012/12","2.70","5.31"
"2013/01","2.67","5.28"
"2013/02","2.61","5.24"
"2013/03","2.56","5.18"
"2013/04","2.48","5.11"
"2013/05","2.43","5.03"
"2013/06","2.36","4.96"
"2013/07","2.35","4.90"
"2013/08","2.32","4.86"
"2013/09","2.29","4.82"
"2013/10","2.26","4.78"
"2013/11","2.23","4.75"
"2013/12","2.19","4.72"
"2014/01","2.17","4.70"
"2014/02","2.15","4.69"
"2014/03","2.13","4.66"
"2014/04","2.12","4.64"
"2014/05","2.11","4.62"
"2014/06","2.10","4.59"
"2014/07","2.10","4.57"
"2014/08","2.06","4.53"
"2014/09","2.01","4.45"
"2014/10","1.97","4.36"
"2014/11","1.93","4.29"
"2014/12","1.92","4.21"
"2015/01","1.88","4.17"
"2015/02","1.83","4.13"
"2015/03","1.77","4.04"
"2015/04","1.71","3.94"
"2015/05","1.65","3.88"
"2015/06","1.59","3.80"
"2015/07","1.54","3.74"
"2015/08","1.50","3.69"
"2015/09","1.46","3.63"
"2015/10","1.44","3.59"
"2015/11","1.42","3.56"
"2015/12","1.39","3.54"
"2016/01","1.38","3.54"
"2016/02","1.36","3.53"
"2016/03","1.33","3.51"
"2016/04","1.31","3.50"
"2016/05","1.30","3.48"
"2016/06","1.26","3.44"
"2016/07","1.23","3.40"
"2016/08","1.21","3.37"
"2016/09","1.20","3.34"
"2016/10","1.18","3.33"
"2016/11","1.17","3.34"
"2016/12","1.16","3.35"
"2017/01","1.15","3.37"
"2017/02","1.15","3.38"
"2017/03","1.13","3.39"
"2017/04","1.13","3.39"
"2017/05","1.13","3.39"
"2017/06","1.11","3.38"
"2017/07","1.12","3.39"
"2017/08","1.13","3.39"
"2017/09","1.12","3.40"
"2017/10","1.14","3.41"
"2017/11","1.17","3.44"
"2017/12","1.18","3.48"
"2018/01","1.21","3.53"
"2018/02","1.23","3.56"
"2018/03","1.24","3.59"
"2018/04","1.26","3.61"
"2018/05","1.29","3.63"
"2018/06","1.29","3.64"
"2018/07","1.32","3.65"
"2018/08","1.33","3.66"
"2018/09","1.34","3.66"
"2018/10","1.36","3.68"
"2018/11","1.38","3.69"
"2018/12","1.40","3.71"
"2019/01","1.42","3.73"
"2019/02","1.43","3.74"
"2019/03","1.42","3.74"
"2019/04","1.42","3.72"
"2019/05","1.42","3.71"
"2019/06","1.40","3.68"
"2019/07","1.39","3.63"
"2019/08","1.35","3.56"
"2019/09","1.33","3.51"
"2019/10","1.30","3.45"
"2019/11","1.27","3.42"
"2019/12","1.23","3.40"
"2020/01","1.21","3.38"
"2020/02","1.17","3.35"
"2020/03","1.12","3.28"
"2020/04","1.07","3.21"
"2020/05","1.02","3.14"
"2020/06","0.95","3.05"
"2020/07","0.91","2.98"
"2020/08","0.87","2.92"
"2020/09","0.84","2.87"
"2020/10","0.82","2.83"
"2020/11","0.79","2.81"
"2020/12","0.75","2.80"
"2021/01","0.73","2.80"
"2021/02","0.70","2.80"
"2021/03","0.68","2.80"
"2021/04","0.67","2.79"
"2021/05","0.66","2.78"
"2021/06","0.65","2.77"
"2021/07","0.66","2.77"
"2021/08","0.67","2.79"
"2021/09","0.69","2.83"
"2021/10","0.73","2.89"
"2021/11","0.77","2.96"
"2021/12","0.83","3.04"
"2022/01","0.88","3.12"
"2022/02","0.93","3.20"
"2022/03","0.96","3.28"
"2022/04","1.01","3.36"
"2022/05","1.08","3.45"
"2022/06","1.17","3.57"
"2022/07","1.33","3.71"
"2022/08","1.48","3.91"
"2022/09","1.66","4.12"
"2022/10","1.92","4.38"
"2022/11","2.17","4.68"
"2022/12","2.37","4.92"
"2023/01","2.48","5.06"
"2023/02","2.51","5.11"
"2023/03","2.53","5.13"
