날짜,편입비중_삼성전자,편입비중_삼성바이오로직스,편입비중_SK하이닉스,편입비중_LG화학,편입비중_삼성SDI,지수,설정좌수,환매좌수,총좌수,iNAV,AUM,매매내역_삼성전자,매매내역_삼성바이오로직스,매매내역_SK하이닉스,매매내역_LG화학,매매내역_삼성SDI,주식잔고_삼성전자,주식잔고_삼성바이오로직스,주식잔고_SK하이닉스,주식잔고_LG화학,주식잔고_삼성SDI
2020-03-27,0.7338942187143598,0.025904250306690305,0.1503894213750582,0.04792703046291265,0.041885079140979053,0.8900506935661388,150000,100000,4000000,8900.506935661388,35602027742.64555,6762.0,26.0,803.0,71.0,75.0,540954,2106,64275,5622,6012
2020-03-30,0.7317222473618743,0.02648242364614674,0.152081268621052,0.048155116281203225,0.041558944089723715,0.8843756191972247,50000,50000,4000000,8843.756191972247,35375024767.888985,0.0,0.0,0.0,0.0,0.0,540954,2106,64275,5622,6012
2020-03-31,0.7307299955682878,0.02838650921817725,0.15146577510739256,0.04850861649035208,0.040909103615790345,0.8837257704255319,100000,50000,4050000,8837.257704255318,35790893702.23404,6762.0,26.0,804.0,70.0,76.0,547716,2132,65079,5692,6088
2020-04-01,0.7332790512939231,0.027880691096777842,0.14914400938246444,0.04858723012696577,0.041109018099868805,0.8446898560208926,50000,0,4100000,8446.898560208927,34632284096.8566,6762.0,27.0,803.0,70.0,75.0,554478,2159,65882,5762,6163
2020-04-02,0.7346096967727813,0.02805938160123214,0.14920615600572798,0.04747219167983939,0.04065257394041921,0.8615694182709425,200000,50000,4250000,8615.694182709425,36616700276.51506,20286.0,79.0,2410.0,211.0,225.0,574764,2238,68292,5973,6388
2020-04-03,0.7361065963750348,0.028177739023739403,0.14812960696856478,0.04728511812066731,0.040300939511993615,0.8634918187171123,100000,50000,4300000,8634.918187171123,37130148204.83583,6762.0,26.0,804.0,70.0,75.0,581526,2264,69096,6043,6463
2020-04-06,0.736108683231994,0.027746759801490366,0.14924505642217856,0.046577177468979485,0.04032232307535761,0.8947219649913741,150000,50000,4400000,8947.21964991374,39367766459.62046,13524.0,53.0,1607.0,141.0,151.0,595050,2317,70703,6184,6614
2020-04-07,0.7338778951980044,0.02747392476985129,0.15083959902597935,0.047515587081422436,0.040292993924742566,0.9140268394202927,50000,0,4450000,9140.268394202927,40674194354.203026,6762.0,26.0,803.0,70.0,75.0,601812,2343,71506,6254,6689
2020-04-08,0.7307213789248185,0.02762934699596755,0.150958719985107,0.04890974201322226,0.041780812080884765,0.8994676208751712,200000,200000,4450000,8994.676208751713,40026309128.94512,0.0,0.0,0.0,0.0,0.0,601812,2343,71506,6254,6689
2020-04-09,0.730375013245912,0.027392254898765876,0.1502343671768339,0.05016659284649751,0.04183177183199069,0.9091523458547155,100000,50000,4500000,9091.523458547155,40911855563.4622,6762.0,26.0,804.0,70.0,75.0,608574,2369,72310,6324,6764
2020-04-10,0.7291368986028102,0.03184902662700702,0.14793971877343126,0.049852086734301373,0.04122226926245021,0.9134783040730898,200000,100000,4600000,9134.783040730897,42020001987.36213,13524.0,53.0,1607.0,141.0,150.0,622098,2422,73917,6465,6914
2020-04-13,0.7317709348557025,0.031426662016445506,0.14653399197897582,0.049599131142927126,0.040669280005949014,0.8926332370657769,100000,50000,4650000,8926.332370657768,41507445523.558624,6762.0,26.0,803.0,70.0,75.0,628860,2448,74720,6535,6989
2020-04-14,0.7307606915166488,0.03110712955834009,0.14583604718545956,0.05060550622449383,0.04169062551505768,0.9068218598163069,150000,100000,4700000,9068.21859816307,42620627411.36643,6762.0,27.0,803.0,70.0,76.0,635622,2475,75523,6605,7065
