날짜,삼성전자,삼성바이오로직스,SK하이닉스,LG화학,삼성SDI,삼성전자_시가총액,삼성바이오로직스_시가총액,SK하이닉스_시가총액,LG화학_시가총액,삼성SDI_시가총액,시가총액합,지수,설정,환매,총좌수,삼성전자_편입비중,삼성바이오로직스_편입비중,SK하이닉스_편입비중,LG화학_편입비중,삼성SDI_편입비중,iNAV,AUM,삼성전자_일자별매매내역,삼성바이오로직스_일자별매매내역,SK하이닉스_일자별매매내역,LG화학_일자별매매내역,삼성SDI_일자별매매내역,삼성전자_주식잔고,삼성바이오로직스_주식잔고,SK하이닉스_주식잔고,LG화학_주식잔고,삼성SDI_주식잔고
2022-08-19,60900,868000,96400,640000,618000,275625529832100,15297340352000,51840016860400,30103543040000,31089371886000,403955801970500,120.70708995740485,50000,50000,33350000,0.6823160565774676,0.03786884673367591,0.12833091295514,0.07452187316818981,0.07696231056552665,12070.0,402534500000.0,20.594968186691403,0.08019645675813081,2.447073853109032,0.2140408245686558,0.2289193210672238,4509946.677773114,17561.655858890397,535867.4261508381,46871.28899190735,50129.42589375241
2022-08-22,60000,851000,95200,639000,600000,271552246140000,14997738064000,51194705447200,30056506254000,30183856200000,397985052105200,118.92295457034446,50000,0,33400000,0.6823177018925328,0.037684174279077255,0.12863474438649927,0.07552169634264333,0.0758416830992473,11892.0,397192800000.0,6914.630631226115,26.925454381842428,821.5896071232855,71.86285642482835,76.85821775211662,4516861.30840434,17588.58131327224,536689.0157579614,46943.15184833218,50206.28411150452
2022-08-23,59100,829000,93600,620000,587000,267478962447900,14610017456000,50334290229600,29162807320000,29529872649000,391115950102500,116.87038023096896,50000,0,33450000,0.6838866131074471,0.03735469610014919,0.12869403617113764,0.07456307346288814,0.07550158115837793,11687.0,390930150000.0,6859.440243481658,26.710543948189297,815.0319395627594,71.28926990633772,76.24475984447054,4523720.748647822,17615.29185722043,537504.0476975242,47014.441118238516,50282.52887134899
2022-08-24,59000,828000,93200,614000,591000,267026375371000,14592393792000,50119186425200,28880586604000,29731098357000,390349640549200,116.64139726863945,50000,0,33500000,0.6840697355204655,0.03738288005458215,0.12839562591804907,0.07398645625333902,0.07616530225356431,11664.0,390744000000.0,6722.382474360056,26.176843320208718,798.7468703102786,69.86484634569206,74.72132114971464,4530443.131122182,17641.468700540638,538302.7945678345,47084.30596458421,50357.25019249871
2022-08-25,59700,845000,94100,616000,587000,270194484909300,14891996080000,50603169985100,28974660176000,29529872649000,394194183799400,117.79019529476832,200000,50000,33650000,0.6854349861407348,0.03777832523165368,0.12837117356062072,0.07350352026184336,0.07491199480514747,11779.0,396363350000.0,20332.535778072663,79.1745494093957,2415.891892516869,211.31339869032672,226.00230520290643,4550775.666900255,17720.643249950033,540718.6864603513,47295.619363274534,50583.252497701615
2022-08-26,60000,847000,95100,616000,586000,271552246140000,14927243408000,51140929496100,28974660176000,29479566222000,396074645442100,118.35210095761461,100000,50000,33700000,0.6856087590178673,0.03768795498469273,0.1291194225245504,0.07315454424924972,0.07442931922363977,11835.0,398839500000.0,6688.577138190158,26.045205914615508,794.7301535331644,69.51351188558328,74.34556457973667,4557464.244038445,17746.68845586465,541513.4166138845,47365.13287516012,50657.59806228135
2022-08-29,58600,829000,92500,604000,576000,265216027063400,14610017456000,49742754767500,28410218744000,28976501952000,386955519982900,115.6271912230172,100000,50000,33750000,0.6853915072076506,0.03775632263017112,0.12854902488456085,0.07341985648700781,0.07488328879060958,11562.0,390217500000.0,6558.972067381255,25.540525967437134,779.33060655999,68.16654324877163,72.90496488825738,4564023.216105826,17772.228981832086,542292.7472204445,47433.29941840889,50730.50302716961
2022-08-30,58800,836000,93200,611000,578000,266121201217200,14733383104000,50119186425200,28739476246000,29077114806000,388790361798400,116.17546510595392,150000,100000,33800000,0.6844850782468527,0.037895443281692566,0.1289105681359158,0.07392023843662647,0.07478867189891245,11617.0,392654600000.0,6830.773774898611,26.59891720581072,811.6258179758443,70.99134302841412,75.92612334718433,4570853.989880725,17798.827899037897,543104.3730384203,47504.2907614373,50806.42915051679
2022-08-31,59700,835000,95200,632000,598000,270194484909300,14715759440000,51194705447200,29727248752000,30083243346000,395915441894500,118.30452892907101,150000,100000,33850000,0.6824550303377634,0.03716894539294409,0.12930717024379643,0.07508484288905673,0.07598401113643936,11830.0,400445500000.0,6801.719518284313,26.485780423412507,808.1736197958235,70.68938591992628,75.60317646820477,4577655.709399009,17825.31367946131,543912.5466582162,47574.98014735723,50882.032326985
2022-09-01,58400,826000,92400,623000,575000,264310852909600,14557146464000,49688978816400,29303917678000,28926195525000,386787091393000,115.57686263545075,50000,50000,33850000,0.6833497259634334,0.037636071078724354,0.12846596983742892,0.07576239830668334,0.07478583481373004,11557.0,391204450000.0,-96.57064600102603,-0.3760444573526911,-11.47442912554834,-1.003646158213087,-1.0734120352353784,4577559.138753008,17824.937635003957,543901.0722290906,47573.97650119902,50880.95891494976
2022-09-02,57500,838000,91700,610000,576000,260237569217500,14768630432000,49312547158700,28692439460000,28976501952000,381987688220200,114.14274041788366,150000,150000,33850000,0.681272138455635,0.038662582296334375,0.12909459828001935,0.07511351895577327,0.07585716201223808,11414.0,386363900000.0,161.91124801896513,0.630479653209477,19.23813515761867,1.6827225329325302,1.799692654669343,4577721.050001027,17825.568114657166,543920.3103642482,47575.65922373195,50882.75860760443
2022-09-05,57100,815000,91100,616000,566000,258427220909900,14363286160000,48989891452100,28974660176000,28473437682000,379228496380000,113.31825908591586,150000,100000,33900000,0.6814551737982977,0.037875018088322915,0.1291830437842689,0.07640422714163968,0.07508253718747084,11331.0,384120900000.0,6537.700770575553,25.45769589851261,776.8031720061554,67.94547342886653,72.66852796935564,4584258.750771603,17851.02581055568,544697.1135362544,47643.604697160816,50955.42713557379
2022-09-06,57100,816000,91800,619000,560000,258427220909900,14380909824000,49366323109800,29115770534000,28171599120000,379461823497700,113.38798017235237,50000,0,33950000,0.6810361541191149,0.03789817297414417,0.1300956250480339,0.07672911668853685,0.07424093117017015,11338.0,384925100000.0,6772.943237429485,26.373726073907164,804.7544504227117,70.3903177773318,75.28331937418261,4591031.694009032,17877.399536629586,545501.8679866771,47713.99501493815,51030.71045494797
2022-09-07,56000,811000,90400,623000,554000,253448763064000,14292791504000,48613459794400,29303917678000,27869760558000,373528692598400,111.61508580693574,150000,50000,34050000,0.6785255539565628,0.03826423990235984,0.13014652089034254,0.0784515841986633,0.07461210105207157,11161.0,380032050000.0,13637.185410577804,53.1029686547663,1620.356950543006,141.72949351389252,151.58145412407612,4604668.87941961,17930.502505284352,547122.2249372201,47855.72450845204,51182.291909072046
2022-09-08,55600,810000,90400,644000,571000,251638414756400,14275167840000,48613459794400,30291690184000,28724969817000,373543702391800,111.61957092256802,100000,50000,34100000,0.6736518729807501,0.03821552270482975,0.13014129132181337,0.0810927610077277,0.076898551984879,11161.0,380590100000.0,6576.331064760685,25.60812160876594,781.3931855462724,68.34695304980414,73.09791541183222,4611245.210484371,17956.110626893118,547903.6181227664,47924.071461501844,51255.38982448388
2022-09-13,58100,841000,94800,665000,602000,262953091678900,14821501424000,50979601642800,31279462690000,30284469054000,390318126489700,116.63198047007772,100000,50000,34150000,0.6736891623347117,0.03797287499121853,0.1306103872276741,0.0801383808928111,0.07758919455358466,11663.0,398291450000.0,7078.9429679131135,27.56528383359546,841.113037273637,73.57053315985104,78.68459923595219,4618324.153452284,17983.675910726713,548744.73116004,47997.641994661695,51334.07442371983
