Symbol,Year,Return,TRI,TB90,MKTCAP,PB
AIM,2012,20.8333,33696.3086,1.03,2496.4736,2.1856
MBT,2012,4.9645,33696.3086,1.03,2271.7922,2.6756
PWF,2012,-7.3825,33696.3086,1.03,17591.0352,1.4976
GWO,2012,-1.0455,33696.3086,1.03,20677.5898,1.7194
BMO,2012,-6.1564,33696.3086,1.03,37276.5781,1.4613
,2012,2.0405,33696.3086,1.03,11981.2568,1.8044
EMP.A,2012,-0.0175,33696.3086,1.03,1926.2626,1.1495
WN,2012,-6.5793,33696.3086,1.03,8136.0288,1.7176
CM,2012,-0.2225,33696.3086,1.03,30922.1074,2.0845
BPO,2012,0.3639,33696.3086,1.03,8342.1895,0.8704
MG,2012,14.3856,33696.3086,1.03,9933.4092,1.1297
WJA,2012,21.5154,33696.3086,1.03,2231.1038,1.6288
BNS,2012,-4.1812,33696.3086,1.03,59884.2227,1.8473
HSE,2012,6.9319,33696.3086,1.03,25600.6992,1.4081
CTC.A,2012,29.1357,33696.3086,1.03,5804.4634,1.2747
FTS,2012,-0.5205,33696.3086,1.03,6751.5195,1.594
MRU,2012,22.8492,33696.3086,1.03,5576.6431,2.3048
TRI,2012,-7.6263,33696.3086,1.03,23095.5645,1.3766
CU,2012,13.3,33696.3086,1.03,8676.8516,2.7316
BCE,2012,11.2748,33696.3086,1.03,33918.8438,3.2201
SC1,2012,5.3306,33696.3086,1.03,8700.1006,2.053
TD,2012,4.0919,33696.3086,1.03,73696.0547,1.7063
IGM,2012,-14.463,33696.3086,1.03,9669.707,2.2267
EMA,2012,8.649,33696.3086,1.03,4265.6528,2.8325
SJR.B,2012,-10.0,33696.3086,1.03,8933.9648,2.6912
T,2012,14.987,33696.3086,1.03,20218.3711,2.5932
CWB,2012,-6.9467,33696.3086,1.03,2203.1245,1.8083
L,2012,-6.2009,33696.3086,1.03,9747.6367,1.594
CJR.B,2012,13.7033,33696.3086,1.03,1859.908,1.7505
IAG,2012,-30.0473,33696.3086,1.03,2275.4048,0.8576
STN,2012,29.4624,33696.3086,1.03,1443.4535,2.1375
RON,2012,29.4058,33696.3086,1.03,1559.8564,0.9195
ACO.X,2012,19.375,33696.3086,1.03,4398.5776,1.9326
CNR,2012,25.2256,33696.3086,1.03,39246.5234,3.513
SAP,2012,2.9222,33696.3086,1.03,8226.5781,3.8515
MTL,2012,7.1362,33696.3086,1.03,1875.298,2.5701
RCI.B,2012,4.6304,33696.3086,1.03,20491.293,5.863
RUS,2012,8.5355,33696.3086,1.03,1506.2565,1.9111
DH,2013,31.4618,37075.1406,0.99,2098.3911,1.8925
CU,2013,0.5296,37075.1406,0.99,8851.6357,2.4451
MTL,2013,9.2128,37075.1406,0.99,2280.0017,2.6616
,2013,10.2419,37075.1406,0.99,13253.7568,1.8104
BPO,2013,1.8127,37075.1406,0.99,8515.3604,0.7772
CM,2013,7.9103,37075.1406,0.99,32903.9023,2.0508
RY,2013,17.6364,37075.1406,0.99,93467.5469,2.1934
EMA,2013,-13.3353,37075.1406,0.99,3935.3196,2.1823
BMO,2013,14.7345,37075.1406,0.99,42702.9922,1.56
PWF,2013,27.6167,37075.1406,0.99,22544.207,1.8824
FTS,2013,-6.5866,37075.1406,0.99,6425.6143,1.3868
COS,2013,-3.9449,37075.1406,0.99,9792.9814,2.2242
BCE,2013,-1.4377,37075.1406,0.99,33510.8008,2.9708
WN,2013,31.1486,37075.1406,0.99,10644.1064,2.115
EMP.A,2013,41.7803,37075.1406,0.99,2731.0618,1.4246
BNS,2013,11.9617,37075.1406,0.99,70392.1797,1.7991
T,2013,4.1405,37075.1406,0.99,20609.1699,2.7934
GWO,2013,36.6559,37075.1406,0.99,29763.416,2.1586
SLF,2013,39.548,37075.1406,0.99,19457.5801,1.3057
L,2013,29.821,37075.1406,0.99,12678.3838,1.9038
FCR,2013,-12.6753,37075.1406,0.99,3484.1431,1.0585
CSU,2013,72.302,37075.1406,0.99,3660.8315,14.4141
TD,2013,11.1359,37075.1406,0.99,82605.8125,1.791
TRI,2013,23.3738,37075.1406,0.99,28643.2148,1.6584
IGM,2013,24.6637,37075.1406,0.99,11908.4043,2.7104
CTC.A,2013,25.0035,37075.1406,0.99,7174.0786,1.4596
ACO.X,2013,13.377,37075.1406,0.99,4988.1816,1.9032
POW,2013,22.8839,37075.1406,0.99,11882.3926,1.4656
SJR.B,2013,25.8929,37075.1406,0.99,11476.6123,3.0402
MRU,2013,17.7786,37075.1406,0.99,6259.6729,2.2233
CWB,2013,6.15,37075.1406,0.99,2362.7024,1.7502
MG,2013,90.315,37075.1406,0.99,18468.2871,1.8772
RCI.B,2013,4.5763,37075.1406,0.99,21408.4121,5.0325
IAG,2013,64.5303,37075.1406,0.99,4056.2588,1.4362
WJA,2014,33.7887,47133.3984,0.94,3751.2705,2.2554
,2014,28.2265,47133.3984,0.94,17148.2324,2.0772
L,2014,20.5248,47133.3984,0.94,22373.457,1.4717
T,2014,22.6795,47133.3984,0.94,24342.1016,2.9907
DH,2014,25.1251,47133.3984,0.94,2628.9526,2.3943
BCE,2014,13.3364,47133.3984,0.94,38089.2773,3.4033
SJR.B,2014,7.9196,47133.3984,0.94,12642.4131,2.9882
FFH,2014,15.7682,47133.3984,0.94,10453.875,1.195
WN,2014,3.5199,47133.3984,0.94,11927.1338,1.733
PWF,2014,10.8833,47133.3984,0.94,24999.5137,1.7745
SLF,2014,25.9109,47133.3984,0.94,24720.7168,1.6427
EMA,2014,15.2531,47133.3984,0.94,4901.8457,1.9731
RY,2014,24.453,47133.3984,0.94,116426.6094,2.479
GWO,2014,6.958,47133.3984,0.94,31786.1621,2.0229
BMO,2014,26.5467,47133.3984,0.94,54065.8398,1.7919
G,2014,-1.8328,47133.3984,0.94,24826.7148,1.1898
BNS,2014,23.1453,47133.3984,0.94,87710.5938,1.9819
CM,2014,26.319,47133.3984,0.94,41254.7344,2.4156
POW,2014,10.9034,47133.3984,0.94,13214.748,1.3979
IGM,2014,9.7757,47133.3984,0.94,13080.4219,2.8009
CTC.A,2014,26.0748,47133.3984,0.94,8950.6572,1.7278
TD,2014,27.7617,47133.3984,0.94,105472.6875,2.0837
EMP.A,2014,-6.7596,47133.3984,0.94,4389.4126,1.2294
CU,2014,14.5449,47133.3984,0.94,10284.6729,2.5739
TRI,2014,19.3511,47133.3984,0.94,33110.6367,2.0284
RCI.B,2014,6.5641,47133.3984,0.94,22813.4199,4.454
COS,2014,15.8832,47133.3984,0.94,11349.5732,2.4596
MFC,2014,27.099,47133.3984,0.94,40790.6836,1.4864
IAG,2014,13.5737,47133.3984,0.94,4695.4219,1.436
PRE,2014,13.5474,47133.3984,0.94,7121.2148,1.54
NTR,2014,22.6003,47133.3984,0.94,31672.3398,3.4265
FTS,2014,10.4448,47133.3984,0.94,7218.5654,1.4959
CCL.B,2014,57.2419,47133.3984,0.94,3915.9875,3.4486
MRU,2014,4.5225,47133.3984,0.94,6041.9868,2.2877
IFC,2014,21.2236,47133.3984,0.94,9722.3516,2.0719
MAXR,2014,2.0529,47133.3984,0.94,2996.1917,3.565
AIM,2015,-33.5652,43042.7188,0.37,1833.4132,6.0693
SLF,2015,3.438,43042.7188,0.37,25535.3887,1.447
POW,2015,-10.1124,43042.7188,0.37,11928.6836,1.1024
LB,2015,-2.7125,43042.7188,0.37,1402.0785,1.0305
,2015,-17.2242,43042.7188,0.37,14272.5498,1.5687
BNS,2015,-16.4076,43042.7188,0.37,72734.3047,1.4946
BCE,2015,8.6823,43042.7188,0.37,45154.9961,3.7434
BMO,2015,-15.1327,43042.7188,0.37,45604.5508,1.2825
CM,2015,-6.9483,43042.7188,0.37,38415.2383,1.9331
IGM,2015,-27.4287,43042.7188,0.37,9303.959,1.9982
PWF,2015,-7.9943,43042.7188,0.37,23066.1406,1.4714
RY,2015,-9.199,43042.7188,0.37,105843.6719,1.9191
EMA,2015,32.5189,43042.7188,0.37,6596.3999,2.2653
BAM.A,2015,19.567,43042.7188,0.37,40607.4219,1.417
SJR.B,2015,-3.5049,43042.7188,0.37,12511.8193,2.6263
TD,2015,-8.3319,43042.7188,0.37,97294.2109,1.5784
WSP,2015,15.6798,43042.7188,0.37,3803.9543,1.6151
FTS,2015,6.4737,43042.7188,0.37,11866.4609,1.3488
IAG,2015,-10.4815,43042.7188,0.37,4263.1519,1.157
EMP.A,2015,16.6292,43042.7188,0.37,5257.3159,1.3897
T,2015,8.5498,43042.7188,0.37,25928.9375,3.4414
GWO,2015,5.6883,43042.7188,0.37,33540.9727,1.8739
CWB,2015,-39.2673,43042.7188,0.37,1987.1423,1.2371
